In20,Out20,In30,Out30,In60,Out60
0.090497829,0.343260526,0.066791722,0.391824338,0.013309086,0.559354623
0.163576777,0.283215637,0.108817539,0.366577139,0.029984315,0.659840305
0.105685585,0.402022202,0.073552729,0.454595803,0.014530506,0.599232319
0.469517863,0.363268681,0.323640532,0.426331799,0.070323692,0.565169798
0.549246841,0.502047468,0.39279251,0.549746927,0.091285584,0.705676546
0.069289891,0.303131483,0.046143207,0.354609507,0.01206814,0.529268582
0.470494465,0.411564517,0.330149236,0.425575716,0.083956897,0.572431549
0.16073009,0.433853326,0.108001161,0.478884746,0.026265876,0.711385191
0.144880308,0.563209924,0.093720632,0.594120621,0.017187637,0.699108969
0.365234624,0.921671516,0.201437825,1.0294536,0.048235025,1.243103742
0.08824811,0.337062469,0.060569234,0.365779351,0.014733838,0.518750912
0.095846826,0.322315942,0.071050368,0.352000108,0.019251316,0.548874894
0.45560008,0.655273826,0.326922481,0.713277509,0.081850511,0.877189231
0.099636856,0.269090439,0.066308242,0.353462535,0.020396225,0.585262737
0.152379064,0.431984221,0.102226438,0.474320299,0.023718785,0.75592484
0.134493314,0.20335985,0.093677969,0.267865379,0.017465165,0.487355692
0.170374297,0.487756669,0.109983057,0.56151814,0.034283878,0.834393293
0.391465165,0.256467708,0.266774983,0.289768225,0.065283456,0.537928786
0.131749501,0.444431062,0.085436675,0.512273616,0.020144683,0.693564376
0.121893629,0.179001023,0.085366761,0.256631392,0.01836288,0.479456468
0.575832686,0.570570311,0.383984696,0.613206484,0.106627817,0.848304062
0.355959901,0.843293095,0.196057516,0.966552094,0.0430586,1.218853542
0.251492549,0.569871148,0.168337848,0.636813743,0.035386362,0.852105561
0.11590433,0.315092178,0.076733781,0.386008452,0.019512342,0.573453942
0.530734993,0.579382416,0.349502228,0.656950126,0.104448377,0.860087721
0.095574747,0.302025241,0.068809718,0.346724551,0.02174547,0.555707212
0.288811351,0.330165055,0.233245582,0.396266635,0.049125241,0.587629616
0.476574086,0.403130045,0.335947335,0.403786974,0.087696152,0.592197454
0.16837504,0.527377706,0.10246774,0.565148148,0.029060676,0.732164045
0.167411834,0.600812324,0.10992353,0.670837946,0.038193307,0.864833103
0.186870579,0.571618559,0.11229489,0.644563381,0.036630029,0.871583335
0.4652401,0.628621578,0.336059658,0.69226359,0.072392451,0.843160037
0.175320138,0.280254108,0.110302647,0.340998298,0.039186627,0.5991651
0.149241896,0.508629794,0.101240181,0.533098039,0.02213194,0.606362584
0.444564043,0.604671772,0.326449434,0.688698126,0.080152985,0.968691319
0.462848256,0.405864087,0.340046797,0.487919519,0.085730494,0.743866863
0.081877915,0.35851597,0.06454922,0.369926372,0.015647966,0.561890039
0.126718728,0.311379289,0.083576519,0.366427774,0.022733774,0.611862864
0.107641352,0.381059338,0.076400646,0.427030055,0.019126422,0.620963444
0.049234642,0.267671794,0.040737819,0.324350713,0.009718126,0.499380012
0.130932252,0.466813829,0.089262127,0.500335845,0.019495088,0.634641073
0.411220124,0.581413115,0.301008565,0.64035379,0.062339785,0.781339755
0.134401248,0.194862759,0.094969812,0.263490827,0.020270606,0.473729476
0.103147386,0.295676152,0.070380369,0.350190744,0.021235759,0.62813384
0.116408446,0.223999879,0.08365283,0.287448961,0.019221137,0.484183057
0.164393304,0.430082548,0.116180777,0.466560895,0.023973249,0.64668259
0.103724455,0.309130626,0.071852768,0.364728728,0.019377671,0.538242744
0.201487021,0.522562124,0.131364053,0.588518261,0.04078411,0.832035384
0.162939955,0.509207656,0.106452363,0.575064679,0.024592166,0.681013633
0.472623162,0.571262554,0.34608442,0.596086705,0.081665273,0.780782101
0.562624454,0.690876014,0.354742418,0.771162862,0.068812385,0.951608652
0.161844868,0.493002548,0.106279383,0.571577207,0.031252909,0.695065068
0.142835383,0.199527681,0.095395526,0.245818193,0.021854108,0.466567338
0.181419248,0.521612485,0.120189214,0.577616798,0.031689733,0.805080997
0.383131808,0.491964037,0.263589577,0.521455723,0.058384263,0.645674012
0.077962714,0.382561576,0.045596261,0.449917547,0.013382528,0.733219144
0.116481703,0.194760055,0.083046511,0.254809888,0.018125222,0.470824632
0.108250679,0.343396205,0.072289009,0.400505997,0.023779614,0.64842234
0.075959071,0.159218217,0.055034051,0.211950488,0.013748106,0.409216885
0.178328713,0.370344305,0.111309934,0.457555937,0.021273708,0.63795734
0.119879799,0.427937748,0.081026241,0.500132883,0.019070176,0.615123158
0.165489528,0.493030537,0.10399087,0.528859593,0.026677547,0.768354311
0.497627152,0.795581347,0.361505535,0.943184584,0.091317493,1.14527797
0.164452288,0.575654999,0.10939098,0.682916557,0.021946084,0.843451448
0.127232533,0.509700323,0.083996695,0.548557836,0.015944146,0.655689015
0.146272684,0.563102969,0.084139947,0.619172883,0.030527809,0.901072374
0.316955016,0.464595863,0.240686071,0.518355329,0.049966004,0.64167056
0.108929985,0.34659024,0.07252517,0.417644275,0.017550354,0.515692901
0.162151414,0.591127974,0.107113189,0.64672618,0.020232113,0.806955195
0.641336938,1.064136537,0.467336211,1.098951152,0.083299773,1.341638568
0.713076372,0.6005715,0.509740394,0.660777836,0.093903107,0.916983789
0.103606603,0.38783876,0.072457663,0.439579896,0.017330695,0.592854904
0.484111485,0.571424495,0.354564475,0.62612909,0.074091945,0.82878124
0.143522449,0.369615694,0.095566338,0.428007446,0.027462123,0.661163683
0.504178796,0.505998221,0.340017112,0.590035383,0.071490236,0.65925771
0.374235163,0.458257391,0.260276275,0.483502999,0.05296018,0.617706431
0.537701904,0.564259646,0.396093434,0.579725418,0.09224522,0.744053759
0.485156802,0.450525308,0.356933572,0.490409896,0.07350949,0.678484922
0.137629351,0.477098023,0.091461989,0.511316187,0.024774632,0.617236409
0.086187624,0.28886144,0.058719806,0.321025185,0.013526681,0.542585185
0.083384845,0.309723028,0.066149443,0.3668106,0.016647446,0.510988173
0.15418792,0.39418284,0.103538774,0.448470911,0.023531031,0.617247745
0.160195344,0.38130989,0.108051058,0.442751637,0.023454185,0.623181093
0.197898842,0.600216803,0.12027499,0.659904427,0.030605944,0.73900865
0.500696639,0.534714058,0.358149441,0.5711015,0.075587147,0.684792679
0.545304677,0.43891257,0.358449836,0.546988275,0.097514341,0.634203836
0.527554377,0.460805299,0.386967176,0.525010861,0.088318164,0.68032183
0.116684784,0.385829871,0.080159704,0.425972652,0.021027256,0.616078438
0.587136768,0.634623434,0.393578988,0.680026348,0.10342359,0.958971288
0.146379475,0.472481145,0.084633992,0.53013233,0.015200703,0.73205246
0.201008068,0.58502759,0.131313092,0.637531655,0.028977297,0.834503747
0.569634203,0.658695634,0.389401712,0.744913728,0.083513309,0.857194634
0.216757825,0.444613581,0.13770308,0.564278815,0.050430293,0.815489191
0.060069789,0.102229873,0.049929823,0.140988387,0.01226901,0.288303794
0.39542519,0.483632903,0.298116699,0.551681453,0.064703665,0.727913318
0.129182679,0.445799702,0.082903569,0.534877705,0.012350593,0.718864839
