FID,OBJECTID_1,NAME1,Lat,Lon,ProjX,ProjY
0,1,上塘,22.637153,114.012817,501317.5173,2504355.42
1,2,上梅林,22.570443,114.059408,506109.7613,2496969.213
2,3,上水径,22.621849,114.105307,510826.1847,2502664.443
3,4,上沙,22.524565,114.035735,503676.3481,2491888.011
4,5,下梅林,22.565307,114.040925,504209.0498,2496399.824
5,6,下水径,22.6149,114.110622,511373.1702,2501895.314
6,7,下沙,22.528822,114.022567,502321.5783,2492359.156
7,8,世界之窗站,22.536814,113.974468,497373.5486,2493244.22
8,9,东角头,22.486324,113.931207,492920.7615,2487654.498
9,10,临海,22.544003,113.889131,488595.6023,2494044.319
10,11,丹竹头,22.619755,114.148017,515217.2626,2502436.289
11,12,五和,22.626837,114.060689,506238.9627,2503214.252
12,13,人民南,22.535551,114.118217,512160.9813,2493108.942
13,14,会展中心站,22.534788,114.061098,506285.1827,2493020.925
14,15,侨城东站,22.532412,113.996655,499655.8923,2492756.532
15,16,侨城北,22.543971,113.989182,498887.2205,2494036.585
16,17,侨香,22.549772,114.014374,501478.501,2494679.005
17,18,八卦岭,22.561864,114.093088,509574.1442,2496020.96
18,19,六约,22.63435,114.180809,518586.5722,2504056.249
19,20,兴东,22.58182,113.919024,491672.7801,2498230.125
20,21,农林,22.540351,114.018065,501858.2812,2493635.787
21,22,前海湾,22.53713,113.897979,489505.2217,2493282.57
22,23,华侨城站,22.533478,113.985426,498500.7512,2492874.648
23,24,华强北,22.544438,114.085469,508791.6301,2494090.773
24,25,华强南,22.53722,114.08681,508930.0342,2493291.548
25,26,华强路站,22.540451,114.084864,508729.6485,2493649.226
26,27,华新,22.549008,114.086719,508919.9157,2494596.919
27,28,南山站,22.523999,113.923611,492141.2133,2491826.901
28,29,南联,22.722141,114.265761,527302.0099,2513791.355
29,30,双龙,22.728876,114.277473,528503.8116,2514539.399
30,31,吉祥,22.709524,114.24429,525098.5538,2512390.346
31,32,后亭,22.752657,113.826859,482216.949,2517156.641
32,33,后海,22.517435,113.940313,493859.2007,2491099.239
33,34,后瑞,22.62886,113.835427,483081.7668,2503446.354
34,35,向西村,22.5398,114.12578,512938.592,2493580.102
35,36,园岭,22.556286,114.104494,510747.6896,2495404.04
36,37,固戍,22.601124,113.846921,484260.2055,2500373.639
37,38,国贸站,22.53983,114.118907,512231.5848,2493582.845
38,39,坂田,22.627494,114.070792,507277.5391,2503287.466
39,40,坪洲,22.568954,113.870697,486701.8023,2496808.867
40,41,塘坑,22.639186,114.192745,519812.8637,2504593.324
41,42,塘尾站,22.70209,113.817862,481286.001,2511557.929
42,43,塘朗,22.590115,113.999664,499965.4493,2499146.439
43,44,大剧院,22.541881,114.107909,511100.0905,2493809.11
44,45,大学城,22.58189,113.965169,496418.1338,2498236.035
45,46,大新,22.532254,113.915168,491273.1282,2492741.508
46,47,大芬,22.614191,114.138391,514228.2083,2501819.186
47,48,大运,22.685745,114.228178,523447.234,2509754.414
48,49,太安,22.573544,114.137145,514104.2442,2497317.876
49,50,孖岭,22.568466,114.067745,506967.272,2496750.649
50,51,安托山,22.548762,114.006368,500655.0134,2494567.103
51,52,宝体,22.560699,113.880716,487731.4795,2495893.866
52,53,宝华,22.549711,113.88516,488187.6159,2494676.719
53,54,宝安中心,22.554592,113.887208,488398.6804,2495217.07
54,55,宝安站,22.554601,113.880388,487697.2035,2495218.613
55,56,少年宫,22.54861,114.060371,506209.7776,2494551.511
56,57,岗厦北,22.540944,114.069198,507118.1186,2493702.989
57,58,岗厦站,22.534853,114.068032,506998.4838,2493028.431
58,59,市民中心,22.541625,114.061154,506290.6337,2493778.041
59,60,布吉,22.60172,114.121559,512498.8068,2500436.654
60,61,布心,22.581265,114.13803,514194.4685,2498172.971
61,62,怡景,22.55585,114.140097,514409.6721,2495358.756
62,63,文锦,22.542289,114.130965,513471.7157,2493856.186
63,64,新安,22.547822,113.894253,489122.77,2494466.845
64,65,新秀站,22.547716,114.149114,515338.0159,2494458.911
65,66,晒布,22.549378,114.122737,512624.6967,2494640.489
66,67,景田,22.553424,114.043379,504461.8207,2495083.996
67,68,木棉湾,22.607009,114.130296,513396.6422,2501023.11
68,69,机场东,22.647156,113.822552,481760.6191,2505473.962
69,70,机场北站,22.65113,113.798181,479256.1826,2505917.233
70,71,机场站,22.624028,113.813673,480844.7639,2502913.897
71,72,杨美,22.626781,114.079977,508221.8157,2503208.987
72,73,松岗,22.772286,113.829627,482503.7476,2519330.048
73,74,桃园,22.532375,113.924771,492261.0191,2492754.378
74,75,桃源村,22.559904,113.981955,498144.0377,2495801.042
75,76,桥头站,22.688122,113.811009,480579.9105,2510011.99
76,77,梅景,22.561029,114.037938,503901.9635,2495926.006
77,78,梅村,22.56844,114.052412,505390.3419,2496747.135
78,79,横岗,22.648446,114.208957,521477.9112,2505621.021
79,80,民乐,22.594312,114.04869,505006.6157,2499612.025
80,81,民治,22.617569,114.040878,504202.6297,2502187.231
81,82,水湾,22.488428,113.919801,491747.1355,2487888.072
82,83,水贝,22.573988,114.124975,512852.6163,2497365.945
83,84,永湖,22.658971,114.218041,522409.9165,2506787.897
84,85,沙井,22.730842,113.824451,481966.765,2514741.122
85,86,沙尾,22.520812,114.042546,504377.169,2491472.597
86,87,泥岗,22.56779,114.09766,510043.9476,2496677.495
87,88,洪浪北,22.574545,113.910607,490806.7294,2497424.998
88,89,洪湖,22.566052,114.122464,512595.102,2496486.912
89,90,海上世界,22.485236,113.915151,491268.4276,2487534.863
90,91,海月,22.500317,113.937694,493588.96,2489203.749
91,92,深云,22.556561,113.993728,499354.8974,2495430.747
92,93,深圳北,22.610492,114.030308,503116.097,2501403.273
93,94,深圳大学,22.538625,113.944148,494254.6349,2493445.614
94,95,深圳湾公园,22.521601,113.993106,499290.7435,2491559.362
95,96,深康,22.546175,113.999032,499900.4295,2494280.611
96,97,深湾站,22.523072,113.978611,497799.5173,2491722.398
97,98,清湖,22.663984,114.036537,503755.0737,2507327.067
98,99,湖贝,22.54428,114.125447,512903.9209,2494076.179
99,100,湾厦,22.493422,113.938589,493680.7388,2488440.179
100,101,灵芝,22.568946,113.904161,490143.4174,2496805.386
101,102,燕南,22.544549,114.092914,509557.4408,2494103.522
102,103,爱联,22.69749,114.234407,524085.2665,2511056.057
103,104,珠光,22.568271,113.960547,495942.4291,2496728.011
104,105,田贝,22.56722,114.130032,513373.3392,2496616.913
105,106,留仙洞,22.580536,113.943559,494195.7998,2498086.775
106,107,登良,22.508947,113.937599,493579.5832,2490159.415
107,108,白石洲,22.539585,113.967119,496617.6318,2493551.221
108,109,白石龙,22.601508,114.042532,504373.1835,2500408.705
109,110,百鸽笼,22.595402,114.130419,513410.4131,2499737.777
110,111,皇岗口岸,22.52179,114.073964,507609.4272,2491582.157
111,112,皇岗村,22.523133,114.059828,506155.0534,2491730.227
112,113,益田,22.516428,114.051184,505266.02,2490987.402
113,114,石厦,22.523716,114.053645,505518.9284,2491794.545
114,115,碧头,22.784472,113.819959,481512.5434,2520680.716
115,116,碧海湾站,22.575062,113.856084,485199.5748,2497486.632
116,117,福民,22.523065,114.064857,506672.4361,2491722.912
117,118,福永站,22.673572,113.806086,480071.9353,2508401.375
118,119,福田,22.539947,114.052903,505441.9564,2493591.899
119,120,福田口岸,22.51572,114.06929,507128.8765,2490909.75
120,121,科学馆站,22.540629,114.094912,509763.2374,2493669.559
121,122,科苑,22.527014,113.946358,494481.5112,2492159.757
122,123,竹子林站,22.53335,114.013965,501436.6014,2492860.468
123,124,笋岗,22.563408,114.111291,511446.2053,2496193.221
124,125,红山,22.621946,114.023518,502417.7874,2502671.548
125,126,红岭,22.549185,114.103222,510617.4018,2494617.599
126,127,红岭北,22.562039,114.104306,510727.9081,2496041.102
127,128,红岭南,22.539946,114.104755,510775.8033,2493594.602
128,129,红树湾,22.525149,113.968494,496758.737,2491952.584
129,130,红树湾南,22.523,113.971417,497059.4029,2491714.549
130,131,罗湖站,22.532074,114.118662,512207.0641,2492723.943
131,132,翠竹,22.55629,114.130049,513376.1418,2495406.546
132,133,翻身,22.559719,113.89327,489022.5989,2495784.366
133,134,老街,22.544285,114.116857,512020.3218,2494076.016
134,135,茶光,22.574136,113.954311,495301.2821,2497377.672
135,136,草埔,22.584508,114.116438,511973.7486,2498530.202
136,137,荷坳,22.673009,114.22429,523049.8362,2508343.419
137,138,莲花北,22.560831,114.059371,506106.3794,2495904.798
138,139,莲花村,22.548652,114.067788,506972.6903,2494556.49
139,140,莲花西,22.546835,114.050125,505155.9369,2494354.562
140,141,蛇口港,22.47667,113.912356,490980.247,2486586.456
141,142,西丽,22.580682,113.954393,495309.9366,2498102.562
142,143,西丽湖,22.593577,113.965633,496466.1477,2499530.222
143,144,西乡,22.575906,113.862153,485823.8024,2497579.506
144,145,购物公园站,22.534648,114.054639,505620.7475,2493005.165
145,146,赤尾,22.531377,114.083601,508600.2901,2492644.32
